,State,Year,District,RegisteredUser
4453,punjab,2022,jalandhar,590791
4454,punjab,2022,patiala,579934
4455,punjab,2022,bathinda,399793
4456,punjab,2022,fazilka,345717
4457,punjab,2022,sangrur,338752
4458,punjab,2022,hoshiarpur,289259
4459,punjab,2022,gurdaspur,260611
4460,punjab,2022,ludhiana,1644780
4461,punjab,2022,sas nagar,904073
4462,punjab,2022,amritsar,656700
4463,punjab,2022,jalandhar,621327
4464,punjab,2022,patiala,608884
4465,punjab,2022,bathinda,420285
4466,punjab,2022,fazilka,363909
4467,punjab,2022,sangrur,355769
4468,punjab,2022,hoshiarpur,303683
4469,punjab,2022,gurdaspur,273518
4470,punjab,2022,ludhiana,1728119
4471,punjab,2022,sas nagar,946603
4472,punjab,2022,amritsar,686055
4473,punjab,2022,jalandhar,649918
4474,punjab,2022,patiala,635654
4475,punjab,2022,bathinda,439064
4476,punjab,2022,fazilka,380321
4477,punjab,2022,sangrur,370649
4478,punjab,2022,hoshiarpur,316389
4479,punjab,2022,gurdaspur,284591
4480,rajasthan,2018,jaipur,900773
4481,rajasthan,2018,alwar,203096
4482,rajasthan,2018,jodhpur,172648
4483,rajasthan,2018,kota,141411
4484,rajasthan,2018,sikar,133983
4485,rajasthan,2018,ajmer,118458
4486,rajasthan,2018,udaipur,111919
4487,rajasthan,2018,bhilwara,111753
4488,rajasthan,2018,nagaur,101581
4489,rajasthan,2018,jhunjhunu,98912
4490,rajasthan,2018,jaipur,1182983
4491,rajasthan,2018,alwar,275869
4492,rajasthan,2018,jodhpur,229215
4493,rajasthan,2018,kota,184759
4494,rajasthan,2018,sikar,178308
4495,rajasthan,2018,ajmer,157947
4496,rajasthan,2018,bhilwara,149055
4497,rajasthan,2018,udaipur,146348
4498,rajasthan,2018,nagaur,138240
4499,rajasthan,2018,jhunjhunu,134221
4500,rajasthan,2018,jaipur,1438305
4501,rajasthan,2018,alwar,345018
4502,rajasthan,2018,jodhpur,278965
4503,rajasthan,2018,kota,218406
4504,rajasthan,2018,sikar,216465
4505,rajasthan,2018,ajmer,193489
4506,rajasthan,2018,bhilwara,184376
4507,rajasthan,2018,udaipur,176698
4508,rajasthan,2018,nagaur,170749
4509,rajasthan,2018,jhunjhunu,162942
4510,rajasthan,2018,jaipur,1733893
4511,rajasthan,2018,alwar,426052
4512,rajasthan,2018,jodhpur,352924
4513,rajasthan,2018,kota,263264
4514,rajasthan,2018,sikar,262310
4515,rajasthan,2018,ajmer,237037
4516,rajasthan,2018,bhilwara,225409
4517,rajasthan,2018,udaipur,216089
4518,rajasthan,2018,nagaur,210067
4519,rajasthan,2018,jhunjhunu,196607
4520,rajasthan,2019,jaipur,2060175
4521,rajasthan,2019,alwar,517681
4522,rajasthan,2019,jodhpur,434178
4523,rajasthan,2019,sikar,318166
4524,rajasthan,2019,kota,318085
4525,rajasthan,2019,ajmer,290433
4526,rajasthan,2019,bhilwara,276384
4527,rajasthan,2019,nagaur,259361
4528,rajasthan,2019,udaipur,258915
4529,rajasthan,2019,jhunjhunu,238956
4530,rajasthan,2019,jaipur,2290462
4531,rajasthan,2019,alwar,593855
4532,rajasthan,2019,jodhpur,499967
4533,rajasthan,2019,sikar,366729
4534,rajasthan,2019,kota,359152
4535,rajasthan,2019,ajmer,335167
4536,rajasthan,2019,bhilwara,314517
4537,rajasthan,2019,nagaur,301083
4538,rajasthan,2019,udaipur,296062
4539,rajasthan,2019,jhunjhunu,275603
4540,rajasthan,2019,jaipur,2520933
4541,rajasthan,2019,alwar,666462
4542,rajasthan,2019,jodhpur,557784
4543,rajasthan,2019,sikar,412367
4544,rajasthan,2019,kota,399776
4545,rajasthan,2019,ajmer,378921
4546,rajasthan,2019,bhilwara,352747
4547,rajasthan,2019,nagaur,337197
4548,rajasthan,2019,udaipur,336408
4549,rajasthan,2019,jhunjhunu,307034
4550,rajasthan,2019,jaipur,2746860
4551,rajasthan,2019,alwar,742956
4552,rajasthan,2019,jodhpur,622601
4553,rajasthan,2019,sikar,464940
4554,rajasthan,2019,kota,441496
4555,rajasthan,2019,ajmer,426926
4556,rajasthan,2019,bhilwara,394803
4557,rajasthan,2019,nagaur,383582
4558,rajasthan,2019,udaipur,378564
4559,rajasthan,2019,jhunjhunu,344011
4560,rajasthan,2020,jaipur,2966508
4561,rajasthan,2020,alwar,825297
4562,rajasthan,2020,jodhpur,695569
4563,rajasthan,2020,sikar,522371
4564,rajasthan,2020,kota,483202
4565,rajasthan,2020,ajmer,482545
4566,rajasthan,2020,bhilwara,442746
4567,rajasthan,2020,nagaur,437492
4568,rajasthan,2020,udaipur,422167
4569,rajasthan,2020,jhunjhunu,386643
4570,rajasthan,2020,jaipur,3182014
4571,rajasthan,2020,alwar,915475
4572,rajasthan,2020,jodhpur,786584
4573,rajasthan,2020,sikar,589850
4574,rajasthan,2020,ajmer,543273
4575,rajasthan,2020,kota,529843
4576,rajasthan,2020,nagaur,507139
4577,rajasthan,2020,bhilwara,494563
4578,rajasthan,2020,udaipur,470976
4579,rajasthan,2020,jhunjhunu,438673
4580,rajasthan,2020,jaipur,3433167
4581,rajasthan,2020,alwar,1008033
4582,rajasthan,2020,jodhpur,870849
4583,rajasthan,2020,sikar,652190
4584,rajasthan,2020,ajmer,605298
4585,rajasthan,2020,kota,577117
4586,rajasthan,2020,nagaur,564788
4587,rajasthan,2020,bhilwara,548564
4588,rajasthan,2020,udaipur,522695
4589,rajasthan,2020,jhunjhunu,484411
4590,rajasthan,2020,jaipur,3679874
4591,rajasthan,2020,alwar,1096436
4592,rajasthan,2020,jodhpur,956422
4593,rajasthan,2020,sikar,712668
4594,rajasthan,2020,ajmer,667786
4595,rajasthan,2020,kota,625674
4596,rajasthan,2020,nagaur,621602
4597,rajasthan,2020,bhilwara,600492
4598,rajasthan,2020,udaipur,572833
4599,rajasthan,2020,jhunjhunu,527749
4600,rajasthan,2021,jaipur,3951866
4601,rajasthan,2021,alwar,1185599
4602,rajasthan,2021,jodhpur,1036855
4603,rajasthan,2021,sikar,770103
4604,rajasthan,2021,ajmer,723852
4605,rajasthan,2021,kota,674683
4606,rajasthan,2021,nagaur,674465
4607,rajasthan,2021,bhilwara,651400
4608,rajasthan,2021,udaipur,619264
4609,rajasthan,2021,jhunjhunu,569602
4610,rajasthan,2021,jaipur,4226231
4611,rajasthan,2021,alwar,1273307
4612,rajasthan,2021,jodhpur,1114131
4613,rajasthan,2021,sikar,826855
4614,rajasthan,2021,ajmer,776294
4615,rajasthan,2021,nagaur,726871
4616,rajasthan,2021,kota,722793
4617,rajasthan,2021,bhilwara,701929
4618,rajasthan,2021,udaipur,664816
4619,rajasthan,2021,jhunjhunu,611825
4620,rajasthan,2021,jaipur,4534297
4621,rajasthan,2021,alwar,1374586
4622,rajasthan,2021,jodhpur,1202937
4623,rajasthan,2021,sikar,892015
4624,rajasthan,2021,ajmer,835375
4625,rajasthan,2021,nagaur,787565
4626,rajasthan,2021,kota,777099
4627,rajasthan,2021,bhilwara,760232
4628,rajasthan,2021,udaipur,716657
4629,rajasthan,2021,jhunjhunu,660246
4630,rajasthan,2021,jaipur,4841883
4631,rajasthan,2021,alwar,1474129
4632,rajasthan,2021,jodhpur,1288773
4633,rajasthan,2021,sikar,955025
4634,rajasthan,2021,ajmer,892912
4635,rajasthan,2021,nagaur,845508
4636,rajasthan,2021,kota,831250
4637,rajasthan,2021,bhilwara,816969
4638,rajasthan,2021,udaipur,767224
4639,rajasthan,2021,jhunjhunu,706897
4640,rajasthan,2022,jaipur,5133527
4641,rajasthan,2022,alwar,1570711
4642,rajasthan,2022,jodhpur,1370206
4643,rajasthan,2022,sikar,1017503
4644,rajasthan,2022,ajmer,947827
4645,rajasthan,2022,nagaur,901819
4646,rajasthan,2022,kota,882916
4647,rajasthan,2022,bhilwara,871188
4648,rajasthan,2022,udaipur,816476
4649,rajasthan,2022,jhunjhunu,752608
4650,rajasthan,2022,jaipur,5409763
4651,rajasthan,2022,alwar,1661785
4652,rajasthan,2022,jodhpur,1444490
4653,rajasthan,2022,sikar,1074986
4654,rajasthan,2022,ajmer,998746
4655,rajasthan,2022,nagaur,952752
4656,rajasthan,2022,kota,931689
4657,rajasthan,2022,bhilwara,921021
4658,rajasthan,2022,udaipur,862053
4659,rajasthan,2022,jhunjhunu,795815
4660,rajasthan,2022,jaipur,5696726
4661,rajasthan,2022,alwar,1755844
4662,rajasthan,2022,jodhpur,1517702
4663,rajasthan,2022,sikar,1133443
4664,rajasthan,2022,ajmer,1050146
4665,rajasthan,2022,nagaur,1001401
4666,rajasthan,2022,kota,982248
4667,rajasthan,2022,bhilwara,971352
4668,rajasthan,2022,udaipur,908034
4669,rajasthan,2022,jhunjhunu,839052
4670,rajasthan,2022,jaipur,5975863
4671,rajasthan,2022,alwar,1843138
4672,rajasthan,2022,jodhpur,1583620
4673,rajasthan,2022,sikar,1185927
4674,rajasthan,2022,ajmer,1097266
4675,rajasthan,2022,nagaur,1043562
4676,rajasthan,2022,kota,1031196
4677,rajasthan,2022,bhilwara,1017032
4678,rajasthan,2022,udaipur,949767
4679,rajasthan,2022,jhunjhunu,876787
4680,sikkim,2018,east,12749
4681,sikkim,2018,south,3679
4682,sikkim,2018,west,2048
4683,sikkim,2018,north,1575
4684,sikkim,2018,east,17767
4685,sikkim,2018,south,5147
4686,sikkim,2018,west,2868
4687,sikkim,2018,north,2315
4688,sikkim,2018,east,23460
4689,sikkim,2018,south,6943
4690,sikkim,2018,west,4042
4691,sikkim,2018,north,3192
4692,sikkim,2018,east,29948
4693,sikkim,2018,south,8992
4694,sikkim,2018,west,5328
4695,sikkim,2018,north,4270
4696,sikkim,2019,east,36124
4697,sikkim,2019,south,11031
4698,sikkim,2019,west,6479
4699,sikkim,2019,north,5322
4700,sikkim,2019,east,43048
4701,sikkim,2019,south,13547
4702,sikkim,2019,west,8064
4703,sikkim,2019,north,6340
4704,sikkim,2019,east,49404
4705,sikkim,2019,south,16016
4706,sikkim,2019,west,9481
4707,sikkim,2019,north,7227
4708,sikkim,2019,east,55340
4709,sikkim,2019,south,18461
4710,sikkim,2019,west,11078
4711,sikkim,2019,north,8093
4712,sikkim,2020,east,61820
4713,sikkim,2020,south,21043
4714,sikkim,2020,west,12746
4715,sikkim,2020,north,9022
4716,sikkim,2020,east,69829
4717,sikkim,2020,south,24768
4718,sikkim,2020,west,15082
4719,sikkim,2020,north,10242
4720,sikkim,2020,east,78018
4721,sikkim,2020,south,28038
4722,sikkim,2020,west,17400
4723,sikkim,2020,north,11317
4724,sikkim,2020,east,85770
4725,sikkim,2020,south,31055
4726,sikkim,2020,west,19217
4727,sikkim,2020,north,12501
4728,sikkim,2021,east,92502
4729,sikkim,2021,south,33490
4730,sikkim,2021,west,20769
4731,sikkim,2021,north,13452
4732,sikkim,2021,east,99077
4733,sikkim,2021,south,35900
4734,sikkim,2021,west,22352
4735,sikkim,2021,north,14411
4736,sikkim,2021,east,106352
4737,sikkim,2021,south,38616
4738,sikkim,2021,west,24132
4739,sikkim,2021,north,15593
4740,sikkim,2021,east,113537
4741,sikkim,2021,south,41311
4742,sikkim,2021,west,25834
4743,sikkim,2021,north,16725
4744,sikkim,2022,east,120360
4745,sikkim,2022,south,43881
4746,sikkim,2022,west,27594
4747,sikkim,2022,north,17781
4748,sikkim,2022,east,126666
4749,sikkim,2022,south,46351
4750,sikkim,2022,west,29184
4751,sikkim,2022,north,18793
4752,sikkim,2022,east,133152
4753,sikkim,2022,south,48673
4754,sikkim,2022,west,30513
4755,sikkim,2022,north,19687
4756,sikkim,2022,east,139175
4757,sikkim,2022,south,50716
4758,sikkim,2022,west,31605
4759,sikkim,2022,north,20472
4760,tamil-nadu,2018,chennai,292004
4761,tamil-nadu,2018,thiruvallur,215622
4762,tamil-nadu,2018,chengalpattu,215210
4763,tamil-nadu,2018,coimbatore,170306
4764,tamil-nadu,2018,kancheepuram,136352
4765,tamil-nadu,2018,salem,88288
4766,tamil-nadu,2018,tiruppur,87652
4767,tamil-nadu,2018,madurai,72582
4768,tamil-nadu,2018,krishnagiri,66958
4769,tamil-nadu,2018,tiruchirappalli,62230
4770,tamil-nadu,2018,chennai,401349
4771,tamil-nadu,2018,thiruvallur,300210
4772,tamil-nadu,2018,chengalpattu,292432
4773,tamil-nadu,2018,coimbatore,244374
4774,tamil-nadu,2018,kancheepuram,188583
4775,tamil-nadu,2018,tiruppur,128535
4776,tamil-nadu,2018,salem,126830
4777,tamil-nadu,2018,madurai,105957
4778,tamil-nadu,2018,krishnagiri,96842
4779,tamil-nadu,2018,tiruchirappalli,91156
4780,tamil-nadu,2018,chennai,511138
4781,tamil-nadu,2018,thiruvallur,381620
4782,tamil-nadu,2018,chengalpattu,368413
4783,tamil-nadu,2018,coimbatore,318461
4784,tamil-nadu,2018,kancheepuram,239985
4785,tamil-nadu,2018,tiruppur,172195
4786,tamil-nadu,2018,salem,164489
4787,tamil-nadu,2018,madurai,138064
4788,tamil-nadu,2018,krishnagiri,128769
4789,tamil-nadu,2018,tiruchirappalli,119661
4790,tamil-nadu,2018,chennai,689276
4791,tamil-nadu,2018,thiruvallur,514830
4792,tamil-nadu,2018,chengalpattu,483785
4793,tamil-nadu,2018,coimbatore,415090
4794,tamil-nadu,2018,kancheepuram,318007
4795,tamil-nadu,2018,tiruppur,227253
4796,tamil-nadu,2018,salem,215365
4797,tamil-nadu,2018,madurai,183206
4798,tamil-nadu,2018,krishnagiri,172743
4799,tamil-nadu,2018,tiruchirappalli,160006
4800,tamil-nadu,2019,chennai,830586
4801,tamil-nadu,2019,thiruvallur,625908
4802,tamil-nadu,2019,chengalpattu,578045
4803,tamil-nadu,2019,coimbatore,495350
4804,tamil-nadu,2019,kancheepuram,385091
4805,tamil-nadu,2019,tiruppur,273869
4806,tamil-nadu,2019,salem,257624
4807,tamil-nadu,2019,madurai,224783
4808,tamil-nadu,2019,krishnagiri,212859
4809,tamil-nadu,2019,tiruchirappalli,193798
4810,tamil-nadu,2019,chennai,969955
4811,tamil-nadu,2019,thiruvallur,733978
4812,tamil-nadu,2019,chengalpattu,667137
4813,tamil-nadu,2019,coimbatore,584160
4814,tamil-nadu,2019,kancheepuram,447527
4815,tamil-nadu,2019,tiruppur,324350
